,feature,divergence
18,PWGTP,2.093802887008462
19,WGTP,1.982689356323915
1,AGEP,1.425948103792415
10,EDU,0.5094555177442878
11,PINCP_DECILE,0.5006848689617386
9,INDP_CAT,0.3466569318169706
12,POVPIP,0.18180809145901553
3,MSP,0.1580650252525252
2,SEX,0.12215855013568133
4,HISP,0.03572075256949715
7,OWN_RENT,0.02523879193509712
5,RAC1P,0.02095501471473684
16,DEYE,0.010109922863690985
6,HOUSING_TYPE,0.00841528979805927
13,DVET,0.008414085618216556
17,DEAR,0.007132735002361834
15,DPHY,0.006155711688718105
14,DREM,0.0029498875357771015
8,DENSITY,0.0
0,PUMA,0.0
