,INDP,count_target,count_deidentified
21,1070,1,0.0
35,1080,3,0.0
53,1090,1,0.0
34,1170,2,0.0
20,1180,2,0.0
12,1190,9,0.0
42,1270,1,1.0
11,1280,5,0.0
6,1370,6,0.0
16,1480,2,0.0
52,1490,1,0.0
39,1570,1,0.0
26,1691,3,0.0
45,1770,3,0.0
50,1790,1,0.0
29,1870,3,0.0
0,1880,2,0.0
1,1990,14,0.0
48,2170,1,1.0
43,2180,1,0.0
7,2190,64,4.0
22,2270,4,1.0
54,2280,1,0.0
5,2290,13,1.0
32,2370,4,0.0
44,2470,1,0.0
49,2480,1,0.0
27,2490,1,0.0
15,2570,2,0.0
41,2590,1,0.0
25,2670,1,0.0
46,2690,1,0.0
55,2790,1,0.0
36,2870,4,1.0
31,2880,15,0.0
33,2970,1,0.0
9,2980,5,0.0
51,3080,1,0.0
8,3095,2,0.0
14,3291,21,0.0
24,3365,7,0.0
30,3370,6,0.0
10,3380,44,3.0
18,3390,56,3.0
17,3470,1,1.0
19,3490,16,3.0
38,3570,5,0.0
3,3580,31,1.0
2,3590,2,1.0
37,3680,2,0.0
40,3875,3,1.0
28,3895,8,0.0
13,3960,29,2.0
47,3970,2,0.0
4,3980,13,0.0
23,3990,10,0.0
