,feature,divergence
20,WGTP,1.521812139222321
19,PWGTP,1.2117537642889937
1,AGEP,0.6979468411790466
12,PINCP_DECILE,0.45547739863071807
11,EDU,0.3040468691679945
10,INDP_CAT,0.2534196983797762
6,NPF,0.23327319188363255
3,MSP,0.15208590611516135
13,POVPIP,0.12468369397543859
8,OWN_RENT,0.04975984776982249
5,RAC1P,0.04801095254811858
4,HISP,0.015630872490075356
16,DPHY,0.011076626880317603
2,SEX,0.010876458397649058
7,HOUSING_TYPE,0.008493514897686696
17,DEYE,0.006877265120561207
15,DREM,0.006292311123743913
18,DEAR,0.0029506737430539873
14,DVET,0.002216239879383663
9,DENSITY,0.0004976135438234941
0,PUMA,0.0
