,INDP,count_target,count_deidentified
6,4670,75,4.0
34,4680,5,1.0
0,4690,36,6.0
2,4770,42,26.0
16,4780,5,8.0
17,4795,49,6.0
10,4870,59,12.0
8,4880,26,2.0
20,4890,28,0.0
7,4971,189,23.0
30,4972,31,2.0
26,4980,22,1.0
29,4990,9,0.0
5,5070,66,13.0
25,5080,38,16.0
31,5090,50,6.0
4,5170,124,15.0
27,5180,15,10.0
24,5190,16,4.0
18,5275,57,4.0
19,5280,5,2.0
23,5295,5,4.0
14,5370,17,2.0
12,5381,44,4.0
3,5391,154,26.0
28,5470,14,0.0
21,5480,14,4.0
13,5490,21,3.0
1,5570,15,10.0
15,5580,32,4.0
22,5593,52,6.0
32,5670,4,0.0
33,5680,8,2.0
9,5690,13,0.0
11,5790,41,11.0
